current_time,nb_hidden,nb_neurons,learning_rate,success_percent
"08/11/2022, 22:07:20",1,20,0.05,86
"08/11/2022, 22:07:28",1,20,0.06,87
"08/11/2022, 22:07:34",1,20,0.07,88
"08/11/2022, 22:07:40",1,20,0.08,89
"08/11/2022, 22:07:47",1,20,0.09,89
"08/11/2022, 22:07:53",1,20,0.1,89
"08/11/2022, 22:07:59",1,20,0.11,90
"08/11/2022, 22:08:06",1,20,0.12,89
"08/11/2022, 22:08:13",1,20,0.13,90
"08/11/2022, 22:08:19",1,20,0.14,90
"08/11/2022, 22:08:26",1,20,0.15,90
"08/11/2022, 22:08:32",1,20,0.16,91
"08/11/2022, 22:08:38",1,20,0.17,90
"08/11/2022, 22:08:45",1,20,0.18,91
"08/11/2022, 22:08:51",1,20,0.19,91
"08/11/2022, 22:08:57",1,20,0.2,91
"08/11/2022, 22:09:03",1,20,0.21,91
"08/11/2022, 22:09:09",1,20,0.22,91
"08/11/2022, 22:09:15",1,20,0.23,91
"08/11/2022, 22:09:21",1,20,0.24,91
"08/11/2022, 22:09:28",1,20,0.25,91
"08/11/2022, 22:09:35",1,20,0.26,91
"08/11/2022, 22:09:41",1,20,0.27,90
"08/11/2022, 22:09:47",1,20,0.28,91
"08/11/2022, 22:09:53",1,20,0.29,92
"08/11/2022, 22:09:59",1,20,0.3,92
"08/11/2022, 22:10:06",1,20,0.31,92
"08/11/2022, 22:10:12",1,20,0.32,92
"08/11/2022, 22:10:18",1,20,0.33,92
"08/11/2022, 22:10:25",1,20,0.34,91
"08/11/2022, 22:10:31",1,20,0.35,92
"08/11/2022, 22:10:37",1,20,0.36,91
"08/11/2022, 22:10:44",1,20,0.37,92
"08/11/2022, 22:10:50",1,20,0.38,92
"08/11/2022, 22:10:56",1,20,0.39,92
"08/11/2022, 22:11:03",1,20,0.4,92
"08/11/2022, 22:11:09",1,20,0.41,92
"08/11/2022, 22:11:16",1,20,0.42,92
"08/11/2022, 22:11:22",1,20,0.43,92
"08/11/2022, 22:11:28",1,20,0.44,92
